index,mid,display_name
0,/m/09x0r,"Speech"
1,/m/05zppz,"Male speech, man speaking"
2,/m/02zsn,"Female speech, woman speaking"
3,/m/0ytgt,"Child speech, kid speaking"
6,/m/0261r1,"Babbling"
8,/m/07p6fty,"Shout"
11,/m/07sr1lc,"Yell"
13,/t/dd00135,"Children shouting"
14,/m/03qc9zr,"Screaming"
15,/m/02rtxlg,"Whispering"
16,/m/01j3sz,"Laughter"
17,/t/dd00001,"Baby laughter"
18,/m/07r660_,"Giggle"
20,/m/07sq110,"Belly laugh"
21,/m/07rgt08,"Chuckle, chortle"
22,/m/0463cq4,"Crying, sobbing"
23,/t/dd00002,"Baby cry, infant cry"
24,/m/07qz6j3,"Whimper"
25,/m/07qw_06,"Wail, moan"
26,/m/07plz5l,"Sigh"
27,/m/015lz1,"Singing"
28,/m/0l14jd,"Choir"
32,/t/dd00003,"Male singing"
33,/t/dd00004,"Female singing"
34,/t/dd00005,"Child singing"
40,/m/01w250,"Whistling"
43,/m/01d3sd,"Snoring"
47,/m/01b_21,"Cough"
48,/m/0dl9sf8,"Throat clearing"
49,/m/01hsr_,"Sneeze"
53,/m/07pbtc8,"Walk, footsteps"
56,/m/0939n_,"Gargling"
62,/m/025_jnm,"Finger snapping"
63,/m/0l15bq,"Clapping"
66,/m/053hz1,"Cheering"
67,/m/028ght,"Applause"
69,/m/03qtwd,"Crowd"
72,/m/0jbk,"Animal"
73,/m/068hy,"Domestic animals, pets"
74,/m/0bt9lr,"Dog"
75,/m/05tny_,"Bark"
76,/m/07r_k2n,"Yip"
77,/m/07qf0zm,"Howl"
79,/m/0ghcn6,"Growling"
81,/m/01yrx,"Cat"
82,/m/02yds9,"Purr"
83,/m/07qrkrw,"Meow"
84,/m/07rjwbb,"Hiss"
111,/m/015p6,"Bird"
112,/m/020bb7,"Bird vocalization, bird call, bird song"
113,/m/07pggtn,"Chirp, tweet"
115,/m/0h0rv,"Pigeon, dove"
116,/m/07r_25d,"Coo"
117,/m/04s8yn,"Crow"
119,/m/09d5_,"Owl"
120,/m/07r_80w,"Hoot"
121,/m/05_wcq,"Bird flight, flapping wings"
122,/m/01z5f,"Canidae, dogs, wolves"
123,/m/06hps,"Rodents, rats, mice"
124,/m/04rmv,"Mouse"
126,/m/03vt0,"Insect"
128,/m/09f96,"Mosquito"
129,/m/0h2mp,"Fly, housefly"
130,/m/07pjwq1,"Buzz"
131,/m/01h3n,"Bee, wasp, etc."
137,/m/04rlf,"Music"
138,/m/04szw,"Musical instrument"
139,/m/0fx80y,"Plucked string instrument"
140,/m/0342h,"Guitar"
152,/m/05148p4,"Keyboard (musical)"
153,/m/05r5c,"Piano"
161,/m/0l14md,"Percussion"
162,/m/02hnl,"Drum kit"
179,/m/0j45pbj,"Mallet percussion"
181,/m/0dwtp,"Glockenspiel"
184,/m/05pd6,"Orchestra"
185,/m/01kcd,"Brass instrument"
187,/m/07gql,"Trumpet"
189,/m/0l14_3,"Bowed string instrument"
191,/m/07y_7,"Violin, fiddle"
192,/m/0d8_n,"Pizzicato"
193,/m/01xqw,"Cello"
194,/m/02fsn,"Double bass"
195,/m/085jw,"Wind instrument, woodwind instrument"
196,/m/0l14j_,"Flute"
197,/m/06ncr,"Saxophone"
198,/m/01wy6,"Clarinet"
200,/m/0395lw,"Bell"
203,/m/0gy1t2s,"Bicycle bell"
210,/m/0192l,"Bagpipes"
215,/m/01hgjl,"Scratching (performance technique)"
283,/m/03m9d0z,"Wind"
286,/m/0jb2l,"Thunderstorm"
287,/m/0ngt1,"Thunder"
288,/m/0838f,"Water"
289,/m/06mb1,"Rain"
290,/m/07r10fb,"Raindrop"
291,/t/dd00038,"Rain on surface"
296,/m/06wzb,"Steam"
297,/m/07swgks,"Gurgling"
298,/m/02_41,"Fire"
299,/m/07pzfmf,"Crackle"
300,/m/07yv9,"Vehicle"
306,/m/012f08,"Motor vehicle (road)"
307,/m/0k4j,"Car"
308,/m/0912c9,"Vehicle horn, car horn, honking"
309,/m/07qv_d5,"Toot"
310,/m/02mfyn,"Car alarm"
318,/m/05x_td,"Air horn, truck horn"
319,/m/02rhddq,"Reversing beeps"
322,/m/03j1ly,"Emergency vehicle"
323,/m/04qvtq,"Police car (siren)"
324,/m/012n7d,"Ambulance (siren)"
325,/m/012ndj,"Fire engine, fire truck (siren)"
335,/m/0k5j,"Aircraft"
336,/m/014yck,"Aircraft engine"
337,/m/04229,"Jet engine"
338,/m/02l6bg,"Propeller, airscrew"
339,/m/09ct_,"Helicopter"
341,/m/0199g,"Bicycle"
342,/m/06_fw,"Skateboard"
343,/m/02mk9,"Engine"
344,/t/dd00065,"Light engine (high frequency)"
346,/m/01yg9g,"Lawn mower"
347,/m/01j4z9,"Chainsaw"
348,/t/dd00066,"Medium engine (mid frequency)"
349,/t/dd00067,"Heavy engine (low frequency)"
353,/m/07q2z82,"Accelerating, revving, vroom"
355,/m/03wwcy,"Doorbell"
356,/m/07r67yg,"Ding-dong"
358,/m/07rjzl8,"Slam"
359,/m/07r4wb8,"Knock"
360,/m/07qcpgn,"Tap"
361,/m/07q6cd_,"Squeak"
362,/m/0642b4,"Cupboard open or close"
363,/m/0fqfqc,"Drawer open or close"
364,/m/04brg2,"Dishes, pots, and pans"
365,/m/023pjk,"Cutlery, silverware"
367,/m/0dxrf,"Frying (food)"
368,/m/0fx9l,"Microwave oven"
369,/m/02pjr4,"Blender"
370,/m/02jz0l,"Water tap, faucet"
371,/m/0130jx,"Sink (filling or washing)"
372,/m/03dnzn,"Bathtub (filling or washing)"
373,/m/03wvsk,"Hair dryer"
374,/m/01jt3m,"Toilet flush"
375,/m/012xff,"Toothbrush"
376,/m/04fgwm,"Electric toothbrush"
377,/m/0d31p,"Vacuum cleaner"
379,/m/03v3yw,"Keys jangling"
381,/m/01lsmm,"Scissors"
382,/m/02g901,"Electric shaver, electric razor"
384,/m/0316dw,"Typing"
385,/m/0c2wf,"Typewriter"
386,/m/01m2v,"Computer keyboard"
387,/m/081rb,"Writing"
388,/m/07pp_mv,"Alarm"
389,/m/07cx4,"Telephone"
390,/m/07pp8cl,"Telephone bell ringing"
391,/m/01hnzm,"Ringtone"
392,/m/02c8p,"Telephone dialing, DTMF"
395,/m/046dlr,"Alarm clock"
396,/m/03kmc9,"Siren"
398,/m/030rvx,"Buzzer"
399,/m/01y3hg,"Smoke detector, smoke alarm"
400,/m/0c3f7m,"Fire alarm"
402,/m/0l156k,"Whistle"
403,/m/06hck5,"Steam whistle"
404,/t/dd00077,"Mechanisms"
406,/m/01x3z,"Clock"
412,/m/02x984l,"Mechanical fan"
413,/m/025wky1,"Air conditioning"
415,/m/01m4t,"Printer"
416,/m/0dv5r,"Camera"
418,/m/07k1x,"Tools"
419,/m/03l9g,"Hammer"
420,/m/03p19w,"Jackhammer"
421,/m/01b82r,"Sawing"
422,/m/02p01q,"Filing (rasp)"
423,/m/023vsd,"Sanding"
424,/m/0_ksk,"Power tool"
